"Codigo","Descripcion","lista3","Tipo","IVA","ROS","MZA","CBA","LUG","Grupo","Rubro","Part Number" 
"210249","CPU COOLER GAMEMAX GAMMA 500 ARGB **LINEA K-KF-X**","32.35","A","21","17","8","13","3059","148","001-0332","GAMMA 500 RAINBOW"
"210250","CPU COOLER GAMEMAX SIGMA 540 BK **LINEA K-KF-X**","33.51","A","21","18","5","20","1611","148","001-0332","SIGMA 540 BK"
"212532","CPU COOLER GAMEMAX WATER  ICEBERG 240 RAINBOW","68.95","A","10.5","108","26","94","502","148","001-0332","6931858791427"
"27952","CPU COOLER GAMEMAX WATER  ICEBERG120 RAINBOW","51.77","A","10.5","96","27","76","749","148","001-0332","ICEBERG120 RAINBOW"
"210251","CPU COOLER GAMEMAX WATER ICECHILL 360 ARGB","96.6","A","10.5","25","4","46","1487","148","001-0332","ICECHILL 360"
"214379","CPU COOLER MSI MAG CORELIQUID M240","87.42","A","21","20","0","17","125","38","001-0002","306-7ZW4R14-813"
"53701","CPU DELL Intel  Xeon  Sil 4309Y 2.8G, 8C/16T 12M","1246.65","A","10.5","0","0","0","2","155","001-0522","338-CBXY"
"53709","CPU DELL Intel  Xeon  Sil 4314  2.4G, 16C/32T 24M","1555.55","A","10.5","0","0","0","3","155","001-0522","338-CBXX"
"14519","CPU HPE BL465c Gen8 6272 Kit","50.28","A","10.5","0","0","0","1","605","001-0522","634973-B21"
"HPE145","CPU HPE DL160 Gen10 Xeon-B 3204 Kit","415.88","A","10.5","0","0","0","2","605","001-0522","P11124-B21"
"HPE494","CPU HPE DL360/DL380 Gen10+ Xeon-S 4310 Kit","1090.94","A","10.5","0","0","0","0","605","001-0522","P36921-B21"
"HPE729","CPU HPE Intel Xeon Gold 5418Y 24C","3497.87","A","10.5","0","0","0","0","605","001-0522","P49612-B21"
"HPE730","CPU HPE Intel Xeon Silver 4410Y 12C","1369.24","A","10.5","0","0","0","2","605","001-0522","P49610-B21"
"HPE731","CPU HPE Intel Xeon Silver 4416+ 20C","2774.05","A","10.5","0","0","0","0","605","001-0522","P49611-B21"
"HPE140","CPU HPE ML350 Gen10 Xeon-S 4210 Kit	","814.34","A","10.5","0","0","0","1","605","001-0522","P10939-B21"
"HPE174","CPU HPE ML350 Gen10 Xeon-S 4210R 10C  Kit","932.45","A","10.5","0","0","0","1","605","001-0522","P19791-B21"
"14537","CPU IBM E5-2407 X3300 4C 2,2GHz/1066MHz/10MB","266.93","A","10.5","0","0","0","1","250","001-0330","00D2582"
"14536","CPU IBM E5-2420 X3630 6C 1,9GHz/1333MHzW/Fan","310.89","A","10.5","0","0","0","4","250","001-0330","90Y6364"
"14091","CPU IBM E5-2650 X3650 8C 2.0GHz/1600MHzW/Fan","558.14","A","10.5","0","0","0","4","250","001-0330","69Y5329"
"39668","CPU INTEL  G5905 CELERON COMETLAKE S1200 BOX","50.52","A","10.5","31","14","31","589","19","001-0330","BX80701G5905"
"51707","CPU INTEL  G6900 CELERON ALDERLAKE S1700 BOX","67.26","A","10.5","19","0","26","348","19","001-0330","BX80715G6900"
"49272","CPU INTEL  PENT G6405 COMETLAKE S1200 BOX","75.01","A","10.5","32","13","9","25","19","001-0330","BX80701G6405"
"51911","CPU INTEL  PENT G7400 ALDERLAKE S1700 BOX","102.52","A","10.5","16","7","18","34","19","001-0330","BX80715G7400"
"48624","CPU INTEL CORE I3-10105 COMETLAKE S1200 BOX","102.43","A","10.5","44","20","14","94","19","001-0330","BX8070110105"
"52514","CPU INTEL CORE I3-12100 ALDERLAKE S1700 BOX","125.02","A","10.5","17","8","5","160","19","001-0330","BX8071512100"
"51590","CPU INTEL CORE I3-12100F ALDERLAKE S1700 BOX","85.8","A","10.5","5","0","0","28","19","001-0330","BX8071512100F"
"212701","CPU INTEL CORE I3-13100 RAPTORLAKE S1700 BOX","133.15","A","10.5","18","5","15","47","19","001-0330","BX8071513100"
"213139","CPU INTEL CORE I3-14100 RAPTORLAKE S1700 BOX","139.1","A","10.5","19","10","4","47","19","001-0330","BX8071514100"
"38073","CPU INTEL CORE I5-10400 COMETLAKE S1200 BOX","143.77","A","10.5","0","1","0","0","19","001-0330","BX8070110400"
"51510","CPU INTEL CORE I5-12400 ALDERLAKE S1700 BOX","166.43","A","10.5","1","4","7","28","19","001-0330","BX8071512400"
"49996","CPU INTEL CORE I5-12600K ALDERLAKE S1700 BOX","217.54","A","10.5","4","0","3","1","19","001-0330","BX8071512600K"
"212642","CPU INTEL CORE I5-13400 RAPTORLAKE S1700 BOX","182.36","A","10.5","5","0","0","0","19","001-0330","BX8071513400"
"53734","CPU INTEL CORE I5-13600K RAPTORLAKE S1700 BOX","281.99","A","10.5","6","0","3","13","19","001-0330","BX8071513600K"
"213140","CPU INTEL CORE I5-14400 RAPTORLAKE S1700 BOX","185.64","A","10.5","50","10","27","134","19","001-0330","BX8071514400"
"43298","CPU INTEL CORE I7 920 S1366 BOX (EXPO)","103.46","A","10.5","1","0","0","0","1","001-0330","BX80601920CD"
"51846","CPU INTEL CORE I7-12700 ALDERLAKE S1700 BOX","315.18","A","10.5","11","0","12","33","19","001-0330","BX8071512700"
"213141","CPU INTEL CORE I7-14700 RAPTORLAKE S1700 BOX","390.49","A","10.5","8","8","8","141","19","001-0330","BX8071514700"
"212984","CPU INTEL CORE I7-14700K RAPTORLAKE S1700 BOX","441.95","A","10.5","0","0","3","0","19","001-0330","BX8071514700K"
"212703","CPU INTEL CORE I9-13900 RAPTORLAKE S1700 BOX","682.62","A","10.5","0","0","0","1","19","001-0330","BX8071513900"
"213142","CPU INTEL CORE I9-14900 RAPTORLAKE S1700 BOX","689.49","A","10.5","5","0","0","1","19","001-0330","BX8071514900"
"212983","CPU INTEL CORE I9-14900K RAPTORLAKE S1700 BOX","563.34","A","10.5","1","0","0","3","19","001-0330","BX8071514900K"
"214417","CPU INTEL CORE ULTRA 5 245K ARROW LAKE S1851 BOX","365.25","A","10.5","0","0","0","7","19","001-0330","BX80768245K"
"214416","CPU INTEL CORE ULTRA 7 265K ARROW LAKE S1851 BOX","478.58","A","10.5","1","0","0","3","19","001-0330","BX80768265K"
"27099","CPU LENOVO E5-2609v4 RD350 8C 1,7GHz/20MB W/F","209.14","A","10.5","0","0","0","2","250","001-0330","4XG0G89084"
"25785","CPU LENOVO E5-2609v4 RD450 8C 1,7GHz/20MB","189.53","A","10.5","0","0","0","2","250","001-0330","4XG0G89085"
"17339","CPU LENOVO E5-2620v2 X3550 6C 2,1GHz/15MB","249.77","A","10.5","0","0","0","5","250","001-0330","46W2837"
"17340","CPU LENOVO E5-2630v2 X3650 6C 2,6GHz/15MB","325.85","A","10.5","0","0","0","6","250","001-0330","46W4364"
"24769","CPU LENOVO E5-2650v2 X3650 8C 2,6GHz/20MB OEM","524.17","A","10.5","0","0","0","1","250","001-0330","46W4215"
"LEN1042","CPU LENOVO E7-8870 10C X3850X5 2,4GHz/30MB","917.97","A","10.5","0","0","0","2","250","001-0330","69Y1899"
"32107","CPU MOBILE INTEL CM380 1.6G 400MHZ 1MB OEM","27.6","A","10.5","0","0","1","0","1","001-0330","RH80536NC0251M"
"41356","CPU MOBILE INTEL T1300 1.66 2M 667M OEM","67.28","A","10.5","2","0","1","0","1","001-0330","LF80538GF0282M"
"14197","CUCHILLA P/FIBRA OPTICA HUBBELL MULTI-SINGLEM","124.18","A","10.5","0","0","0","1","255","001-0055","OFCLV3"
"33806","CX MEMORY RAM HP520 SODIMM 512M","9.4","A","10.5","0","0","0","5","84","002-0280",""
"22639","CX502E BACK COVER P/ REPUESTO","8.87","A","10.5","0","0","26","0","90","001-0455","CX502E-5"
"3484","DAT IMATION 4MM 20GB/40GB 150M","14.18","A","21","0","3","0","0","18","001-0520","74-0401-7908-2"
"3481","DAT IMATION 4MM 4GB/8GB 120M","2.41","A","21","19","0","0","0","18","001-0520","84-9802-3126-4"
"70849","DAT IMATION 8MM 5GB/10GB 112M","6.3","A","21","0","0","0","1","18","001-0520","84-9802-3083-7"
"1912","DATA CARTRIDGE 2120 XL 170/340 MB","11.66","A","21","20","0","0","0","1","001-0335",""
"1913","DATA CARTRIDGE TR-1 400-800MB","21.34","A","21","4","0","0","0","1","001-0335",""
"1914","DATA CARTRIDGE TR-2 800/1600MB","28.73","A","21","2","0","0","0","1","001-0335",""
"15015","DAUGHTER IBM 8GB FC 4 PUERTOS","469","A","10.5","0","0","0","10","648","001-0010","00W1459"
"71528","DDR 256MB 333","2.24","A","10.5","0","0","2","0","1","001-0280",""
