Categoría;Marca;ID;Producto;Código Interno;Código Barras;Precio Compra;Alicuota IVA;Margen Categoría;Margen Producto;Precio Fijo;Precio Único;Precio Final;Moneda;Stock;Ubicación;Descripción;Proveedor;Imágenes;Oferta;Redondeo;Alto (Cm);Ancho (Cm);Profundidad (Cm);Peso (Kg);Garantia
Coolers;Gamemax;293;FAN COOLER GAMEMAX 120MM ARGB RAINBOW INFINITY ;;;9,28;10,50%;30,00%;25,00%;0,00;SI;12,82;u$s;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Coolers;Gamemax;115;FAN COOLER GAMEMAX RQ300 KIT X 3 FANS ARGB 12CM ;;;28,73;21,00%;30,00%;30,00%;0,00;SI;45,19;u$s;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Gamemax;124;FUENTE 800W GAMEMAX VP-800 80+ BRONZE (USADO) ;;;41.322,31;21,00%;30,00%;40,00%;0,00;SI;69.999,99;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;Gamemax;128;GABINETE GAMEMAX NOVA N6 ;;;37,36;10,50%;30,00%;30,00%;0,00;SI;53,67;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Coolers;Gamemax;114;WATERCOOLER GAMEMAX ICEBERG 120 RAINBOW ;;;51,77;21,00%;30,00%;25,00%;0,00;SI;78,30;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Coolers;Gamemax;315;WATERCOOLER GAMEMAX ICEBERG 240 RAINBOW ;;;68,95;10,50%;30,00%;30,00%;0,00;SI;99,05;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Coolers;Gamemax;305;WATERCOOLER GAMEMAX ICECHILL 120 RAINBOW ;;;51,77;10,50%;30,00%;30,00%;0,00;SI;74,37;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Coolers;Gamemax;116;WATERCOOLER GAMEMAX ICECHILL 360ARGB ;;;96,60;21,00%;30,00%;25,00%;0,00;SI;146,11;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
General;Genius;314;TEC+MOUSE WIRELESS GENIUS LMATE Q8000 REDUCIDO ;;;14,80;10,50%;30,00%;0,00%;0,00;SI;21,26;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Gigabyte;126;FUENTE 1000W GIGABYTE P1000GM 80+ GOLD FULL MODULAR ;;;87,83;21,00%;30,00%;100,00%;0,00;SI;212,55;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Gigabyte;277;FUENTE 450W GIGABYTE P450B 80+ BRONZE ;;;31,22;21,00%;30,00%;30,00%;0,00;SI;49,10;u$s;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Gigabyte;278;FUENTE 550W GIGABYTE GP550 80+ SILVER ;;;36,37;21,00%;30,00%;40,00%;0,00;SI;61,61;u$s;8,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Gigabyte;274;FUENTE 550W GIGABYTE GP550 ICE 80+ SILVER ;;;36,63;21,00%;30,00%;40,00%;0,00;SI;62,05;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Gigabyte;240;FUENTE 550W GIGABYTE P550B 80+ BRONZE ;;;48,35;21,00%;30,00%;30,00%;0,00;SI;76,05;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Gigabyte;122;FUENTE 550W GIGABYTE P550B 80+ BRONZE (USADO) ;;;38.370,72;21,00%;30,00%;40,00%;0,00;SI;65.000,00;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
